trade_type,acct_num,sec_symbol,trade_date,trade_lot,transaction_id
BUY,CO-37971,COF,2016-07-18,60000,01233572
SELL,CO-37971,COF,2017-06-27,60000,01233572
BUY,CO-37971,CRM,2016-06-09,80000,08701461
SELL,CO-37971,CRM,2017-12-29,80000,08701461
BUY,CO-37971,UA,2016-06-15,10000,05289254
SELL,CO-37971,UA,2016-10-14,10000,05289254
BUY,CO-37971,UA,2016-08-10,50000,02315197
SELL,CO-37971,UA,2017-10-09,50000,02315197
BUY,CO-37971,AMD,2016-07-14,90000,01371762
SELL,CO-37971,AMD,2017-10-04,90000,01371762
BUY,CO-37971,CMG,2016-05-05,30000,03236146
SELL,CO-37971,CMG,2016-08-31,30000,03236146
BUY,CO-37971,SQ,2016-04-19,70000,04739846
SELL,CO-37971,SQ,2017-08-09,70000,04739846
BUY,CO-37971,UA,2016-06-15,80000,08238365
SELL,CO-37971,UA,2016-12-06,80000,08238365
BUY,CO-37971,NKE,2016-06-24,50000,01277646
SELL,CO-37971,NKE,2017-08-30,50000,01277646
BUY,CO-37971,COF,2016-08-05,10000,01951371
SELL,CO-37971,COF,2017-09-26,10000,01951371
BUY,CO-37971,SQ,2016-06-22,30000,04230013
SELL,CO-37971,SQ,2017-08-24,30000,04230013
BUY,CO-37971,CRM,2016-07-08,60000,06083805
SELL,CO-37971,CRM,2017-07-25,60000,06083805
BUY,CO-37971,INTC,2016-04-13,30000,08370363
SELL,CO-37971,INTC,2017-02-07,30000,08370363
BUY,CO-37971,DIS,2016-05-31,10000,08601368
SELL,CO-37971,DIS,2017-07-31,10000,08601368
BUY,CO-37971,NKE,2016-08-05,10000,07248137
SELL,CO-37971,NKE,2018-01-24,10000,07248137
BUY,CO-37971,SQ,2016-05-05,20000,03214118
SELL,CO-37971,SQ,2017-05-24,20000,03214118
BUY,CO-37971,DIS,2016-04-05,40000,08559632
SELL,CO-37971,DIS,2017-07-25,40000,08559632
BUY,CO-37971,UA,2016-05-18,80000,04110133
SELL,CO-37971,UA,2016-09-26,80000,04110133
BUY,CO-37971,INTC,2016-08-04,70000,09441605
SELL,CO-37971,INTC,2017-01-31,70000,09441605
BUY,CO-37971,INTC,2016-05-24,20000,02824608
SELL,CO-37971,INTC,2017-01-24,20000,02824608
BUY,CO-37971,SQ,2016-08-02,80000,02851127
SELL,CO-37971,SQ,2017-11-20,80000,02851127
BUY,CO-37971,AMD,2016-05-23,70000,07455274
SELL,CO-37971,AMD,2016-12-27,70000,07455274
BUY,CO-37971,NKE,2016-06-15,50000,09295403
SELL,CO-37971,NKE,2017-01-12,50000,09295403
BUY,CO-37971,UA,2016-06-30,50000,02619926
SELL,CO-37971,UA,2017-11-27,50000,02619926
BUY,CO-37971,INTC,2016-07-07,50000,07693304
SELL,CO-37971,INTC,2017-06-14,50000,07693304
BUY,CO-37971,COF,2016-05-03,50000,05455819
SELL,CO-37971,COF,2017-06-22,50000,05455819
BUY,CO-37971,UA,2016-06-22,90000,02525113
SELL,CO-37971,UA,2017-08-16,90000,02525113
BUY,CO-37971,CRM,2016-05-20,40000,04915906
SELL,CO-37971,CRM,2017-12-07,40000,04915906
BUY,CO-37971,INTC,2016-05-26,60000,03113858
SELL,CO-37971,INTC,2017-03-24,60000,03113858
BUY,CO-37971,UA,2016-05-11,10000,02907651
SELL,CO-37971,UA,2016-11-16,10000,02907651
BUY,CO-37971,CMG,2016-05-10,90000,08922662
SELL,CO-37971,CMG,2016-07-29,90000,08922662
BUY,CO-37971,DIS,2016-07-22,70000,02862749
SELL,CO-37971,DIS,2016-12-30,70000,02862749
BUY,CO-37971,INTC,2016-06-24,60000,02246170
SELL,CO-37971,INTC,2017-01-27,60000,02246170
BUY,CO-37971,NKE,2016-06-14,30000,03939492
SELL,CO-37971,NKE,2017-06-06,30000,03939492
BUY,CO-37971,COF,2016-06-13,20000,07529884
SELL,CO-37971,COF,2017-08-11,20000,07529884
BUY,CO-37971,COF,2016-07-19,80000,04065525
SELL,CO-37971,COF,2017-04-21,80000,04065525
BUY,CO-37971,INTC,2016-05-25,70000,03566779
SELL,CO-37971,INTC,2017-01-18,70000,03566779
BUY,CO-37971,NKE,2016-04-06,50000,06414011
SELL,CO-37971,NKE,2016-11-10,50000,06414011
BUY,CO-37971,DIS,2016-08-01,10000,02329899
SELL,CO-37971,DIS,2017-06-09,10000,02329899
BUY,CO-37971,CMG,2016-05-16,50000,03418106
SELL,CO-37971,CMG,2017-10-30,50000,03418106
BUY,CO-37971,SQ,2016-08-09,10000,07810301
SELL,CO-37971,SQ,2016-10-18,10000,07810301
BUY,CO-37971,NKE,2016-05-26,70000,07436789
SELL,CO-37971,NKE,2016-09-29,70000,07436789
BUY,CO-37971,SQ,2016-05-23,10000,08369676
SELL,CO-37971,SQ,2016-11-01,10000,08369676
BUY,CO-37971,AMD,2016-05-02,70000,03452967
SELL,CO-37971,AMD,2016-07-20,70000,03452967
BUY,CO-37971,UA,2016-05-20,70000,06641506
SELL,CO-37971,UA,2016-12-06,70000,06641506
BUY,CO-37971,CMG,2016-04-19,20000,02248465
SELL,CO-37971,CMG,2017-04-19,20000,02248465
BUY,CO-37971,INTC,2016-06-06,90000,03317565
SELL,CO-37971,INTC,2017-05-02,90000,03317565
BUY,CO-37971,DIS,2016-08-05,10000,09491209
SELL,CO-37971,DIS,2017-08-08,10000,09491209
BUY,CO-37971,DIS,2016-04-28,70000,09059294
SELL,CO-37971,DIS,2017-02-21,70000,09059294
BUY,CO-37971,COF,2016-05-02,40000,01856753
SELL,CO-37971,COF,2017-03-23,40000,01856753
BUY,CO-37971,INTC,2016-06-08,30000,09979176
SELL,CO-37971,INTC,2017-04-27,30000,09979176
BUY,CO-37971,AMD,2016-04-22,30000,03155022
SELL,CO-37971,AMD,2017-11-06,30000,03155022
BUY,CO-37971,UA,2016-05-04,30000,06301634
SELL,CO-37971,UA,2016-08-30,30000,06301634
BUY,CO-37971,NKE,2016-04-27,30000,01385957
SELL,CO-37971,NKE,2017-10-06,30000,01385957
BUY,CO-37971,DIS,2016-06-17,70000,04781010
SELL,CO-37971,DIS,2017-01-13,70000,04781010
BUY,CO-37971,DIS,2016-06-15,60000,09500205
SELL,CO-37971,DIS,2017-08-18,60000,09500205
BUY,CO-37971,INTC,2016-04-29,60000,06861751
SELL,CO-37971,INTC,2016-08-16,60000,06861751
BUY,CO-37971,CRM,2016-08-01,40000,09651470
SELL,CO-37971,CRM,2017-11-21,40000,09651470
BUY,CO-37971,DIS,2016-05-10,40000,01248928
SELL,CO-37971,DIS,2016-08-15,40000,01248928
BUY,CO-37971,INTC,2016-04-11,10000,02054544
SELL,CO-37971,INTC,2016-05-27,10000,02054544
BUY,CO-37971,MSFT,2016-07-26,50000,02141470
SELL,CO-37971,MSFT,2016-09-26,50000,02141470
BUY,CO-37971,SQ,2016-04-08,30000,05779388
SELL,CO-37971,SQ,2017-04-17,30000,05779388
BUY,CO-37971,CRM,2016-06-14,20000,05339053
SELL,CO-37971,CRM,2017-05-15,20000,05339053
BUY,CO-37971,DIS,2016-05-26,80000,06788370
SELL,CO-37971,DIS,2017-09-27,80000,06788370
BUY,CO-37971,AMD,2016-04-04,30000,06556371
SELL,CO-37971,AMD,2017-10-10,30000,06556371
BUY,CO-37971,UA,2016-06-14,40000,09175336
SELL,CO-37971,UA,2017-07-27,40000,09175336
BUY,CO-37971,CMG,2016-06-17,90000,04954413
SELL,CO-37971,CMG,2017-01-05,90000,04954413
BUY,CO-37971,MSFT,2016-07-08,10000,02155586
SELL,CO-37971,MSFT,2017-11-16,10000,02155586
BUY,CO-37971,CRM,2016-07-01,40000,04760241
SELL,CO-37971,CRM,2018-01-25,40000,04760241
BUY,CO-37971,MSFT,2016-07-15,10000,01308181
SELL,CO-37971,MSFT,2018-02-01,10000,01308181
BUY,CO-37971,UA,2016-07-21,60000,03254564
